Gene_ID,B16_antiXBH25_08,B16_antiXBH25_17,B16_antiXBH25_19,B16_ctrl_10,B16_ctrl_11,B16_ctrl_22,CT26_antiXBH25_03,CT26_antiXBH25_21,CT26_antiXBH25_46,CT26_ctrl_04,CT26_ctrl_12,CT26_ctrl_27,CT26_ctrl_34,CT26_ctrl_39,CT26_ctrl_41,LLC_antiXBH25_35,LLC_antiXBH25_43,LLC_antiXBH25_54,LLC_ctrl_29,LLC_ctrl_39,LLC_ctrl_42,EMT6_antiXBH25_4,EMT6_antiXBH25_5,EMT6_antiXBH25_6,EMT6_isotype-ctrl_1,EMT6_isotype-ctrl_3,EMT6_isotype-ctrl_7
Car14,218.62,189.09,187.47,101.19,90.53,163.28,0.13,0.25,0.14,0.0,0.13,0.16,0.0,0.0,0.15,0.0,0.0,0.12,0.28,0.0,0.0,1.44,0.17,0.08,0.18,0.55,0.59
Spin2f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usp34,22.88,12.24,11.13,20.22,12.68,22.8,28.88,28.38,29.51,30.9,29.4,41.49,27.47,23.99,24.82,56.08,62.66,59.65,54.24,56.82,58.11,19.67,21.16,19.72,25.61,29.09,16.75
Txlna,28.29,21.09,21.55,14.93,10.76,19.05,19.27,18.95,25.66,16.77,21.55,16.25,14.55,19.3,21.01,26.43,23.01,25.0,29.7,26.64,27.09,30.49,32.1,30.07,37.79,36.79,34.2
Notch2,4.21,1.56,1.14,1.99,2.08,2.68,15.35,17.31,25.06,11.42,12.54,15.6,10.67,14.77,17.9,39.0,41.7,42.21,53.25,42.51,44.46,26.3,26.69,26.76,40.59,41.23,22.87
Gm25270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psma7,362.61,304.3,333.97,184.87,298.53,303.23,253.54,282.41,293.56,294.75,262.89,240.78,257.48,268.18,298.14,243.38,235.45,286.13,281.69,308.36,306.37,618.51,663.16,689.71,518.26,507.21,527.61
Zfp518a,7.59,3.9,3.48,3.74,2.43,6.5,3.98,4.37,4.37,4.01,3.46,4.11,4.27,4.42,3.45,3.21,2.79,3.78,3.62,3.15,3.65,2.26,2.75,3.02,3.54,4.18,3.87
Mir6972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm26017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
